date,treated,synthetic_baseline,synthetic_topology_augmented,treated_z,baseline_z,topology_augmented_z
2009-01-01,3.099999523800001,3.0016573638454407,2.8801987330417087,-2.4244140474090234,-2.9776427789319015,-3.055854741481213
2009-02-01,3.6399999616,3.3589298751898355,3.352177444834701,-1.0013879369227832,-1.891718753046135,-1.7790295635266276
2009-03-01,3.5400002482,3.645785260430833,3.5237092616539183,-1.264910321810266,-1.0198264442431182,-1.3149913832810527
2009-04-01,3.11999979,3.756569101085319,3.4838048196991376,-2.3717087178814666,-0.6831007504753148,-1.4229432779894697
2009-05-01,3.9199999808,4.038466533845817,3.982936129332999,-0.26352309392089196,0.1737219418673849,-0.07266326043334108
2009-06-01,4.0199997898,4.050593472397886,4.0697231504935605,-4.5710528724408514e-07,0.21058157566506627,0.16211820527412896
2009-07-01,4.0999998092,4.095063963823667,4.201402183533592,0.21081810613404398,0.34574891585724554,0.5183442396126591
2009-08-01,4.279999828399999,4.188319033325536,4.268318184046064,0.6851598089911308,0.6291961929138031,0.6993694259770381
2009-09-01,4.2999995236,4.192424499791279,4.276879907654362,0.7378636338015628,0.6416746919056316,0.7225311152579709
2009-10-01,4.339999865999999,4.169559326031814,4.30599321543787,0.8432737921627134,0.5721763656895353,0.8012901852387111
2009-11-01,4.1200002674,3.864394100926933,4.116175558555134,0.26352394162603315,-0.355368405553127,0.2877840514397739
2009-12-01,4.299999714400001,4.158882748897846,4.327726839331571,0.7378641366037161,0.5397250819891172,0.8600852908278022
2010-01-01,4.500000094800001,4.552211147565137,4.501288180521423,1.2649114193353461,1.7352403948485964,1.3296138623790679
2010-02-01,4.6399999616,4.694292689286737,4.598920691647928,1.6338434645252455,2.1670949453422614,1.5937351993768423
2010-03-01,4.439999867199999,4.389373875489196,4.411337229672408,1.1067969354697933,1.2402991372870635,1.0862731439202409
2010-04-01,4.220000172000001,4.15712981431921,4.164757807488827,0.527046830369762,0.5343970656589935,0.41921167114013647
2010-05-01,4.020000361799999,4.053069536421662,4.137387344767096,1.050247072713075e-06,0.21810753226030263,0.3451674503687963
2010-06-01,3.819999980800001,3.830304629741946,3.940418550526721,-0.5270462340656927,-0.458982802446465,-0.18768437000689
2010-07-01,4.200000191200001,3.94389686961356,4.1851413494870044,0.47434225293724497,-0.11372102463267122,0.474354454042987
2010-08-01,4.279999828399999,4.045142346181851,4.183412920265829,0.6851598089911308,0.1940129656036506,0.46967860343200063
2010-09-01,4.099999713599999,4.024249246264933,4.060796532487663,0.21081785420591986,0.13050872596976784,0.13796938173796908
2010-10-01,4.140000057,3.931609478765577,3.996415852870229,0.3162280152023067,-0.15106835059140256,-0.03619710216357785
2010-11-01,4.1200002674,3.917879912775968,4.010379453241892,0.26352394162603315,-0.19279914459231212,0.001578068800606752
2010-12-01,4.0999999044,3.832407277524223,3.971726901156652,0.21081835700807308,-0.4525918384840879,-0.10298713819178394
2011-01-01,4.000000095800001,4.051855857814744,3.9263960330841416,-0.05270427875343667,0.21441857574362133,-0.22561892697234318
2011-02-01,3.8399997706,3.913775257009228,3.797226629998992,-0.4743421599623752,-0.20527517947761778,-0.5750557595234268
2011-03-01,3.340000438199999,3.637566038624513,3.589844328629232,-1.791956101405909,-1.0448086361279099,-1.1360788252569745
